"Name","Category","Cost Price","Price","Quantity","Description","Status","Barcode","Barcode Type","Special Prices"
"pbl04-508","Crokory","88","130","48","","Active","'8964004636967","EAN13",""
"ppe09.901","Crokory","192","220","24","","Active","'8964004636783","EAN13",""
"rainbow 2450","Crokory","1750","2450","6","","Active","'7175204893611","EAN13",""
"sheraz ","","1100","1500","2","","Active","'4881533303136","EAN13",""
"silicone gloves 300","Crokory","220","300","12","","Active","'1813111174114","EAN13",""
"steel mug stand 250","Crokory","150","250","12","","Active","'1372420825686","EAN13",""
"api bursh 350","Crokory","250","350","46","","Active","'4912447612202","EAN13",""
"api dustbin 250","Crokory","220","250","60","","Active","'7514369855964","EAN13",""
"api muga ","Crokory","120","200","288","","Active","'4443279351804","EAN13",""
"garbage shovel api ","Crokory","132","250","143","","Active","'Ahad Plastic IndustryClassic Garbage Shovel","CODE128",""
"ISFAHAN PRAU 350","Crokory","260","350","34","","Active","'8964003538149","EAN13",""
"coral Sprau 250","","194","250","72","","Active","'8964003538606","EAN13",""
"color bottle 1300","Crokory","980","1300","3","","Active","'2631192670221","EAN13",""
"travel 500 ml ","Crokory","780","1000","4","","Active","'9222077599565","EAN13",""
"vacuum 800 ml 1250","Crokory","1050","1250","7","","Active","'2942771683397","EAN13",""
"vacuum 1000 ml 1500","Crokory","1150","1500","4","","Active","'6631171422502","EAN13",""
"mlcrowave oven cover ","Crokory","220","300","4","","Active","'6974339300046","EAN13",""
"fridge cover","Crokory","220","300","3","","Active","'6974339300084","EAN13",""
"rui knife","Crokory","220","250","7","","Active","'1223880040433","EAN13",""
"steel namak dani 250","Crokory","180","250","4","","Active","'4738143858047","EAN13",""
"thai","Crokory","450","700","12","","Active","'9205748849022","EAN13",""
"spoon golden 1000","Crokory","780","1000","6","","Active","'8260120279065","EAN13",""
"spoon 250","Crokory","170","250","32","","Active","'4786186507743","EAN13",""
"joji spoon 350","Crokory","240","350","12","","Active","'6990016270549","EAN13",""
"eotia L","Crokory","450","600","3","","Active","'8701042570958","EAN13",""
"aprin 150","Crokory","85","150","27","","Active","'9134591969550","EAN13",""
"jurin art 500","Crokory","350","500","13","","Active","'6261686802539","EAN13",""
"minions","Crokory","1100","1500","4","","Active","'1528774283195","EAN13",""
"biscuid sancha 100","Crokory","28","100","17","","Active","'2460971037814","EAN13",""
"silicone steamer ","Crokory","180","300","23","","Active","'7515566952661","EAN13",""
"terminator","Crokory","130","70","14","","Active","'5864325396867","EAN13",""
"multifunctional","Crokory","180","250","6","","Active","'1362161711409","EAN13",""
"alo minshar 250","Crokory","150","250","5","","Active","'4020209319082","EAN13",""
"barsh shimpo 250","Crokory","120","250","3","","Active","'2975128759537","EAN13",""
"rongxing 5 pc","Crokory","100","200","6","","Active","'6931443901071","EAN13",""
"grain hook 250","Crokory","110","250","9","","Active","'6971115421810","EAN13",""
"ws","Crokory","100","130","9","","Active","'2017851907943","EAN13",""
"salikon tokari","Crokory","120","250","9","","Active","'1928627155776","EAN13",""
"measuring cup","Crokory","180","250","4","","Active","'8892351526672","EAN13",""
"original hsm ","Crokory","150","250","5","","Active","'7872329241128","EAN13",""
"shuang 3","Crokory","270","400","6","","Active","'6945036599613","EAN13",""
"cleaning essential","Crokory","110","200","8","","Active","'6499159203150","EAN13",""
"allthings","Crokory","180","250","3","","Active","'679899015039","CODE128",""
"gusta 4 pc","Crokory","400","700","3","","Active","'8712628491109","EAN13",""
"cake spatula S","Crokory","120","200","10","","Active","'9350737571962","EAN13",""
"black water set ","Crokory","850","1200","6","","Active","'8964003301163","EAN13",""
"blue water set ","Crokory","850","1200","6","","Active","'8964003301668","EAN13",""
"cross mug","Crokory","430","600","9","","Active","'8021499588789","EAN13",""
"pdh09.702","Crokory","360","500","4","","Active","'8964004636080","EAN13",""
"juice lazuli","Crokory","210","250","8","","Active","'8964004636912","EAN13",""
"pcp20.310","Crokory","430","600","10","","Active","'8964004636141","EAN13",""
"aprin 250","Crokory","115","250","20","","Active","'6477038291245","EAN13",""
"dish 250 ","Crokory","150","250","17","","Active","'7553183142720","EAN13",""
"coco ","Crokory","450","600","3","","Active","'GG-246","CODE128",""
"costa water set","Crokory","550","750","0","","Active","'GG-241","CODE128",""
"wiper m","Crokory","190","250","9","","Active","'9983867287153","EAN13",""
"wiper m","Crokory","190","250","3","","Active","'9983867287153","EAN13",""
"sitara ","Crokory","220","300","9","","Active","'925558791265","UPC",""
"kk nonbox 300","Crokory","300","220","12","","Active","'7168695737168","EAN13",""
"kk nonbox 450","Crokory","300","450","5","","Active","'2373859516816","EAN13",""
"dream ","Crokory","200","250","0","","Active","'8663348637431","EAN13",""
"cake sat 7 pice","Crokory","550","700","12","","Active","'8627276370044","EAN13",""
"jug max 300","cosmetics","250","300","10","","Active","'8676584745594","EAN13",""
"Bleach ","cosmetics","250","300","4","","Active","'4555787871368","EAN13",""
"Phenyle Rose ","cosmetics","280","300","3","","Active","'9242000015566","EAN13",""
